title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Datasets de La Pitié-Salpêtrière,2020,"[ ""Ninon Burgos"" ]",dataset,figshare & Grand Challenge,Présentation de deux datasets médicaux de La Pitié-Salpêtrière,"Vincent Cabeli, Louis Verny, Nadir Sella, Guido Uguzzoni, Marc Verny, Hervé Isambert & l'équipe du professeur Frédérique Capron","[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_144448-q70
Directive sur la réutilisation des informations du secteur public,2003,"[ ""Sumi Saint-Auguste"" ]",directive,Journal officiel de l'Union Européenne,Directive du Parlement Européen sur la réutilisation des informations du secteur public établissant un marché intérieur.,Parlement Européen,"[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_190011-4kk
Rapport Administrateur Général des Données 2016-2017,2017,"[ ""PA Chevalier"" ]",rapport,Administrateur Général des Données,"Rapport public 2016-2017 de l'Administrateur Général des Données sur l’inventaire, la gestion, la production et l’exploitation des données par les administrations.",Henri Verdier,"[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"", ""2.5. Instrumenter l'action publique"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_111513-hw0
Data Feminism,2020,"[ ""Hubert Guillaud"" ]",livre,MIT Press,Livre publié par MIT Press sur l'éthique des données à travers la perspective du féminisme intersectionnel.,Catherine D'Ignazio et Lauren F. Klein,"[ ""1.2. Mettre en données le monde"", ""4.2. Chaînes de valeur de la donnée"", ""4.1. Prises, emprises, déprises, reprises"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220606_161426-8af
Why Computer Vision APIs won't do the trick for verticalized applications. Heuritech's take in fashion,2018,"[ ""Charles Ollion"" ]",article de blog,Site de Medium,Post sur Medium à propos des inconvénients à utiliser des APIs de Computer Vision pour des applications verticales comme la mode,Charles Ollion,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_110607-hdj
What's easy/hard in AI & Computer Vision these days ?,2018,"[ ""Charles Ollion"" ]",article de blog,Site de Medium,Post Medium à propos des frontières étroites entre ce qui est possible ou non en IA et notamment en Computer Vision,Charles Ollion,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_110900-ike
Mitigating Unwanted Biases with Adversarial Learning,2018,"[ ""Ninon Burgos"", ""Alexandre Défossez"" ]",article scientifique,Arxiv,,"Hu Zhang, Lemoine, Mitchell","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_173238-izf
On the opportunities and risks of Foundation Models,2022,"[ ""Dominique Cardon"", ""Sumi Saint-Auguste"" ]",article scientifique,Arxiv,,CRFM / HAI (Stanford University),"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_173721-ojl
The Effect of Natural Distribution Shift on Question Answering Models,2020,"[ ""Dominique Cardon"" ]",article scientifique,ML conference Proceedings,,"Miller, Krauth, Recht, Schimdt","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_175427-18x
Hybrids of constraint-based and noise-based algorithms for causal discovery from time series,2023,"[ ""Eric Gaussier"" ]",article scientifique,arxiv,,Assad et al.,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230620_121856-usn
Attention Is All You Need,2017,"[ ""Alexandre Défossez"" ]",article scientifique,arXiv,Article introduisant l'architecture Transformer basée sur le mécanisme d'attention,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser & Illia Polosukhin","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_124748-b1b
A Phantom Go Program,2005,"[ ""Cédric Buron"" ]",article scientifique,Advances in Computer Games,"Article à propos de l'application de méthodes de Monte Carlo sur une variante du jeu du Go, le Phantom Go",tristan Cazenave,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_141527-ies
Probabilistic Latent Semantic Indexing,1999,"[ ""Eric Gaussier"" ]",article scientifique,SIGIR '99,Article à propos d'une nouvelle approche pour l'indexion automatique de documents,Thomas Hofmann,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_152033-a4y
Latent Dirichlet Allocation,2003,"[ ""Eric Gaussier"" ]",article scientifique,Journal of Machine Learning Research,Article à propos d'un modèle probabiliste génératif pour la collecte de données discrètes,"David Blei, Andrew Ng & Michael Jordan","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_171028-jho
OMNIA Faster R-CNN: Detection in the wild through dataset merging and soft distillation,2019,"[ ""Charles Ollion"" ]",article scientifique,arXiv,Article collectif à propos de l'entraînement d'OMNIA Faster R-CNN sur plusieurs datasets fusionnées les uns avec les autres,"Alexandre Rame, Emilien Garreau, Hedi Ben-Younes, Charles Ollion","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_111222-4a5
Leveraging Weakly Annotated Data for Fashion Image Retrieval and Label Prediction,2017,"[ ""Charles Ollion"" ]",article scientifique,arXiv,Article collectif à propos d'une méthode pour apprendre une représentation visuelle adaptée aux produits de e-commerce,"Charles Corbière, Hedi Ben-Younès, Alexandre Ramé, Charles Ollion","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_111600-jko
Tweeting From Left to Right: Is Online Political Communication More Than an Echo Chamber?,2015,"[ ""P.Ramaciotti Morales"" ]",article scientifique,Psychological Science,Polarisation et echo chambers sur Twitter à partir de l'estimation du positionnement idéologique de 3.8 million d'utilisateurs de Twitter,"Pablo Barbera, John T. Jost, Jonathan Nagler, Joshua A. Tucker, Richard Bonneau","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_172737-ukd
Tales from Category-land,2021,"[ ""Marie Lechner"" ]",essai,Transmediale site web,Conversation entre l'artiste Simone C Niquille et la professeure en psychologie Eleanor Rosch sur la négociation des catégories,Simone C Niquille,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_152947-zyo
Objectivité - Daston & Galison,2012,"[ ""Marie Lechner"" ]",livre,,"Ouvrage académique en histoire des sciences sur la fabrique de l'objectivé, en particulier par la production d'images.","Lorraine Daston, Peter Galison","[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_185102-7rb
API Graph pour Instagram,2022,"[ ""Charles Ollion"" ]",présentation (projet),Site MetaforDevelopers,Présentation de l'API Graph pour les professionnels d'Instagram,MetaforDevelopers,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220607_114430-j7h
Extrait de thèse Frédéric Bardolle,2018,"[ ""Frédéric Bardolle"" ]",thèse de doctorat,,"Extrait de la thèse de doctorat en géophyique de F Bardolle, dont l'objectif est de ""proposer un outil de modélisation systémique fournissant des informations sur le fonctionnement physique des hydrosystèmes, tout en étant simple et parcimonieux. Ce modèle nommé MASH (pour Modélisation des Hydrosystèmes par Approche Systémique) est basé sur l’utilisation de fonctions de transfert paramétriques choisies en fonction de leur faible paramétrisation, leur caractère général et leur interprétation physique. """,Frédéric Bardolle,"[ ""1.3. Modéliser"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_190142-pzz
Prototyping Machine Learning Through Diffractive Art Practice,2021,"[ ""Hugo Scurto"" ]",article scientifique,HAL,Article collectif à propos d'une approche artistique du machine learning,"Hugo Scurto, Baptiste Caramiaux & Frédéric Bevilacqua","[ ""1.3. Modéliser"", ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220610_155739-lkc
Neural Network zoo,2016,"[ ""RYBN"" ]",image,Asimov Institute,"Sheet containing many architectures. Most of these are neural networks, some are completely different beasts.","Van Veen, F. & Leijnen, S","[ ""1.3. Modéliser"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220924_145228-q6v
Data Augmentation in High Dimensional low sample size setting Using a Geometry-based variational Autoencoder,2022,"[ ""Ninon Burgos"" ]",article scientifique,Arxiv,,"Chadebec, Thibeau-Sutre, Burgos, Allassonnière","[ ""1.3. Modéliser"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_172818-zrm
La vie n'est pas donnée,2016,"[ ""RYBN"", ""Dominique Cardon"" ]",article scientifique,Classiques Garnier,"La gouvernementalité algorithmique met en œuvre une nouvelle forme de normativité qui semble parfaitement adéquate aux mouvements de la vie. Pourtant elle ne fait qu’immuniser, en temps réel, une actualité calculable contre tout ce qui pourrait la mettre en crise. Elle nous plonge dans un univers continu, lisse, sans accident, indemne. Une normativité proprement humaine consiste à assumer l’inadéquation de nos représentations par rapport au monde, l’irréductibilité de la temporalité humaine au temps réel.",Antoinette Rouvroy,"[ ""1.3. Modéliser"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_174349-i90
Measuring the predictability of life outcomes with a scientific mass collaboration,2020,"[ ""Dominique Cardon"" ]",article scientifique,PNAS,,Salganik et al.,"[ ""1.3. Modéliser"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230628_174938-m1p
The Document Company : Xerox,2022,"[ ""Eric Gaussier"" ]",image,World Vector Logo,Logo et slogan de l'entreprise Xerox,Xerox,"[ ""1.3. Modéliser"", ""1.2. Mettre en données le monde"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_164037-e67
Computational Social Science (Science),2009,"[ ""P.Ramaciotti Morales"" ]",article scientifique,Science,Article court paru dans Science sur les enjeux du champ naissant des computational social sciences,"David Lazer, Alex Pentland, Lada Adamic, Sinan Aral, Albert-László Barabási, Devon Brewer, Nicholas Christakis, Noshir Contractor, James Fowler, Myron Gutmann, Tony Jebara, Gary King, Michael Macy, Deb Roy, Marshall Van Alstyne","[ ""1.3. Modéliser"", ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_233756-x3h
European Polarization Observatory,2021,"[ ""P.Ramaciotti Morales"" ]",présentation (recherche),medialab Sciences Po (site web),"Présentation d'un projet de recherche qui vise à mesurer la polarisation dans des systèmes socio-politiques européens, multipolaires et multi-thématiques.",medialab Sciences Po,"[ ""1.3. Modéliser"", ""1.5. Institutionnaliser l'IA comme discipline"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_160939-82i
"Equipe ""Analyse et synthèse des sons"" (IRCAM)",2022,"[ ""Alexandre Défossez"" ]",laboratoire,IRCAM,"Page de présentation de l'équipe ""Analyse et synthèse des sons"" de l'IRCAM",IRCAM,"[ ""1.3. Modéliser"", ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220602_130858-4h3
Projet REACH : Raising Co-creativity in Cyber-Human Musicianship,2019,"[ ""Hugo Scurto"" ]",présentation (recherche),,Présentation de l'ERC de Gérard Assayag à l'IRCAM sur la co-créativité entre musiciens humains et agents artificiels.,Gérard Assayag,"[ ""1.3. Modéliser"", ""1.5. Institutionnaliser l'IA comme discipline"", ""3.1. Appliquer l'IA (de la recherche au business)"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_185436-ebl
Do Categories Have Politics ? The language/action perspective reconsidered,1994,"[ ""Dominique Cardon"" ]",article scientifique,Journal CSCW,"Article de Lucy Suchman en réponse au livre ""Understanding Computers and Cognition: A New Foundation for Design"" (1986) de Winograd et Flores",Lucy Suchman,"[ ""1.3. Modéliser"", ""2.1. Performer le social"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_171515-pvq
All Models,2020,"[ ""Marie Lechner"" ]",présentation (recherche),KIM at Karlsruhe University,"All Models is a research environment to question knowledge models in the broader sense. Statistical models did not emerge with machine learning and have long influenced culture and politics. For instance, climate science (and our perception of global warming) is mediated by mathematical models. Climate models are historical artefacts that are tested and debated within the scientific community, and today, also beyond. Machine learning models, on the contrary, are opaque and often inaccessible to community debate. All Models is an international mailing list of critical AI studies to share independent research from disciplines such as computer science, media studies, history of science and technology, political economy, philosophy, and digital humanities. It initiates a process of community building expanding previous decades of network cultures and critical theory and bringing together scholars, artists, coders and activists to disseminate and discuss the newest developments in AI.",,"[ ""1.3. Modéliser"", ""2.2. Produire une critique de l’IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230702_164758-7yi
Diagrammes RYBN,2016,"[ ""RYBN"" ]",diagramme,,,,"[ ""1.3. Modéliser"", ""2.3. Ouvrir les boîtes noires"", ""3.1. Appliquer l'IA (de la recherche au business)"", ""2.1. Performer le social"", ""1.1. Définir l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220609_180214-4ol
